,index,close
0,2000-01-03,116.56
1,2000-01-04,112.62
2,2000-01-05,113.81
3,2000-01-06,110.0
4,2000-01-07,111.44
5,2000-01-10,112.25
6,2000-01-11,109.37
7,2000-01-12,105.81
8,2000-01-13,107.81
9,2000-01-14,112.25
10,2000-01-18,115.31
11,2000-01-19,107.0
12,2000-01-20,106.0
13,2000-01-21,103.75
14,2000-01-24,101.25
15,2000-01-25,102.81
16,2000-01-26,99.37
17,2000-01-27,98.75
18,2000-01-28,98.25
19,2000-01-31,97.87
20,2000-02-01,102.94
21,2000-02-02,100.81
22,2000-02-03,103.62
23,2000-02-04,106.56
24,2000-02-07,106.62
25,2000-02-08,109.94
26,2000-02-09,104.0
27,2000-02-10,106.0
28,2000-02-11,99.94
29,2000-02-14,99.62
30,2000-02-15,98.56
31,2000-02-16,97.62
32,2000-02-17,99.62
33,2000-02-18,95.06
34,2000-02-22,93.81
35,2000-02-23,94.25
36,2000-02-24,94.75
37,2000-02-25,91.31
38,2000-02-28,91.56
39,2000-02-29,89.37
40,2000-03-01,90.81
41,2000-03-02,93.37
42,2000-03-03,96.12
43,2000-03-06,90.62
44,2000-03-07,92.87
45,2000-03-08,95.56
46,2000-03-09,100.0
47,2000-03-10,101.0
48,2000-03-13,98.0
49,2000-03-14,95.12
50,2000-03-15,95.37
51,2000-03-16,95.37
52,2000-03-17,99.37
53,2000-03-20,97.37
54,2000-03-21,102.75
55,2000-03-22,103.25
56,2000-03-23,111.87
57,2000-03-24,111.69
58,2000-03-27,104.06
59,2000-03-28,104.31
60,2000-03-29,107.19
61,2000-03-30,103.37
62,2000-03-31,106.25
63,2000-04-03,90.87
64,2000-04-04,88.56
65,2000-04-05,86.37
66,2000-04-06,86.0
67,2000-04-07,89.06
68,2000-04-10,86.06
69,2000-04-11,83.87
70,2000-04-12,79.37
71,2000-04-13,79.25
72,2000-04-14,74.12
73,2000-04-17,75.87
74,2000-04-18,80.56
75,2000-04-19,78.69
76,2000-04-20,78.94
77,2000-04-24,66.62
78,2000-04-25,69.37
79,2000-04-26,68.0
80,2000-04-27,69.81
81,2000-04-28,69.75
82,2000-05-01,73.44
83,2000-05-02,69.87
84,2000-05-03,70.56
85,2000-05-04,70.44
86,2000-05-05,71.12
87,2000-05-08,69.81
88,2000-05-09,67.81
89,2000-05-10,66.19
90,2000-05-11,67.87
91,2000-05-12,68.81
92,2000-05-15,69.37
93,2000-05-16,69.5
94,2000-05-17,67.69
95,2000-05-18,66.19
96,2000-05-19,65.06
97,2000-05-22,64.19
98,2000-05-23,63.19
99,2000-05-24,65.56
100,2000-05-25,61.5
101,2000-05-26,61.44
102,2000-05-30,63.38
103,2000-05-31,62.56
104,2000-06-01,64.56
105,2000-06-02,66.31
106,2000-06-05,66.87
107,2000-06-06,69.62
108,2000-06-07,70.5
109,2000-06-08,68.81
110,2000-06-09,68.81
111,2000-06-12,66.87
112,2000-06-13,67.87
113,2000-06-14,70.5
114,2000-06-15,72.37
115,2000-06-16,72.56
116,2000-06-19,73.69
117,2000-06-20,74.94
118,2000-06-21,80.69
119,2000-06-22,79.87
120,2000-06-23,77.69
121,2000-06-26,79.5
122,2000-06-27,78.81
123,2000-06-28,78.94
124,2000-06-29,77.19
125,2000-06-30,80.0
126,2000-07-03,80.0
127,2000-07-05,78.5
128,2000-07-06,80.94
129,2000-07-07,82.0
130,2000-07-10,79.44
131,2000-07-11,79.12
132,2000-07-12,80.31
133,2000-07-13,79.94
134,2000-07-14,78.94
135,2000-07-17,78.19
136,2000-07-18,78.5
137,2000-07-19,73.12
138,2000-07-20,74.81
139,2000-07-21,72.31
140,2000-07-24,70.56
141,2000-07-25,69.0
142,2000-07-26,67.81
143,2000-07-27,69.37
144,2000-07-28,69.69
145,2000-07-31,69.81
146,2000-08-01,68.69
147,2000-08-02,69.37
148,2000-08-03,70.25
149,2000-08-04,69.12
150,2000-08-07,70.0
151,2000-08-08,74.12
152,2000-08-09,74.25
153,2000-08-10,72.62
154,2000-08-11,72.44
155,2000-08-14,72.19
156,2000-08-15,71.62
157,2000-08-16,71.0
158,2000-08-17,71.56
159,2000-08-18,71.0
160,2000-08-21,70.62
161,2000-08-22,71.25
162,2000-08-23,70.75
163,2000-08-24,71.12
164,2000-08-25,70.62
165,2000-08-28,71.31
166,2000-08-29,70.94
167,2000-08-30,70.0
168,2000-08-31,69.81
169,2000-09-01,70.19
170,2000-09-05,70.12
171,2000-09-06,69.44
172,2000-09-07,70.06
173,2000-09-08,69.31
174,2000-09-11,68.81
175,2000-09-12,68.12
176,2000-09-13,68.25
177,2000-09-14,65.81
178,2000-09-15,64.19
179,2000-09-18,63.0
180,2000-09-19,65.0
181,2000-09-20,64.25
182,2000-09-21,64.19
183,2000-09-22,63.25
184,2000-09-25,61.25
185,2000-09-26,62.69
186,2000-09-27,60.63
187,2000-09-28,61.31
188,2000-09-29,60.31
189,2000-10-02,59.13
190,2000-10-03,56.56
191,2000-10-04,55.44
192,2000-10-05,55.38
193,2000-10-06,55.56
194,2000-10-09,54.19
195,2000-10-10,54.56
196,2000-10-11,55.75
197,2000-10-12,54.38
198,2000-10-13,53.75
199,2000-10-16,50.38
200,2000-10-17,50.44
201,2000-10-18,51.75
202,2000-10-19,61.88
203,2000-10-20,65.19
204,2000-10-23,62.13
205,2000-10-24,61.5
206,2000-10-25,61.25
207,2000-10-26,64.44
208,2000-10-27,67.69
209,2000-10-30,69.06
210,2000-10-31,68.87
211,2000-11-01,69.62
212,2000-11-02,70.31
213,2000-11-03,68.25
214,2000-11-06,69.5
215,2000-11-07,70.5
216,2000-11-08,69.44
217,2000-11-09,70.87
218,2000-11-10,67.37
219,2000-11-13,66.44
220,2000-11-14,68.81
221,2000-11-15,70.06
222,2000-11-16,68.94
223,2000-11-17,69.06
224,2000-11-20,67.19
225,2000-11-21,67.75
226,2000-11-22,68.25
227,2000-11-24,69.94
228,2000-11-27,70.69
229,2000-11-28,67.0
230,2000-11-29,65.06
231,2000-11-30,57.38
232,2000-12-01,56.63
233,2000-12-04,56.44
234,2000-12-05,59.88
235,2000-12-06,56.69
236,2000-12-07,53.13
237,2000-12-08,54.44
238,2000-12-11,58.06
239,2000-12-12,58.38
240,2000-12-13,57.25
241,2000-12-14,55.5
242,2000-12-15,49.19
243,2000-12-18,47.81
244,2000-12-19,44.81
245,2000-12-20,41.5
246,2000-12-21,43.44
247,2000-12-22,46.44
248,2000-12-26,46.88
249,2000-12-27,46.44
250,2000-12-28,44.56
251,2000-12-29,43.38
252,2001-01-02,43.38
253,2001-01-03,47.94
254,2001-01-04,48.44
255,2001-01-05,49.13
256,2001-01-08,48.94
257,2001-01-09,51.81
258,2001-01-10,52.88
259,2001-01-11,55.0
260,2001-01-12,53.5
261,2001-01-16,52.56
262,2001-01-17,52.94
263,2001-01-18,55.5
264,2001-01-19,61.0
265,2001-01-22,60.13
266,2001-01-23,60.56
267,2001-01-24,62.94
268,2001-01-25,61.81
269,2001-01-26,64.0
270,2001-01-29,64.5
271,2001-01-30,63.38
272,2001-01-31,61.06
273,2001-02-01,62.38
274,2001-02-02,60.81
275,2001-02-05,61.94
276,2001-02-06,62.56
277,2001-02-07,64.69
278,2001-02-08,62.25
279,2001-02-09,59.13
280,2001-02-12,58.75
281,2001-02-13,58.19
282,2001-02-14,58.38
283,2001-02-15,58.81
284,2001-02-16,57.31
285,2001-02-20,55.88
286,2001-02-21,56.25
287,2001-02-22,55.19
288,2001-02-23,56.75
289,2001-02-26,59.56
290,2001-02-27,59.38
291,2001-02-28,59.0
292,2001-03-01,59.36
293,2001-03-02,56.69
294,2001-03-05,57.44
295,2001-03-06,59.44
296,2001-03-07,60.69
297,2001-03-08,59.25
298,2001-03-09,56.69
299,2001-03-12,51.94
300,2001-03-13,54.19
301,2001-03-14,54.0
302,2001-03-15,53.69
303,2001-03-16,54.56
304,2001-03-19,54.31
305,2001-03-20,52.69
306,2001-03-21,50.06
307,2001-03-22,54.0
308,2001-03-23,56.56
309,2001-03-26,56.06
310,2001-03-27,58.25
311,2001-03-28,55.56
312,2001-03-29,55.38
313,2001-03-30,54.69
314,2001-04-02,55.81
315,2001-04-03,53.38
316,2001-04-04,51.94
317,2001-04-05,56.75
318,2001-04-06,56.19
319,2001-04-09,57.15
320,2001-04-10,59.68
321,2001-04-11,60.04
322,2001-04-12,62.18
323,2001-04-16,60.79
324,2001-04-17,61.48
325,2001-04-18,65.43
326,2001-04-19,68.04
327,2001-04-20,69.0
328,2001-04-23,68.25
329,2001-04-24,67.55
330,2001-04-25,69.69
331,2001-04-26,69.13
332,2001-04-27,67.12
333,2001-04-30,67.75
334,2001-05-01,70.17
335,2001-05-02,69.76
336,2001-05-03,68.53
337,2001-05-04,70.75
338,2001-05-07,71.38
339,2001-05-08,72.06
340,2001-05-09,70.4
341,2001-05-10,70.0
342,2001-05-11,69.4
343,2001-05-14,68.72
344,2001-05-15,68.27
345,2001-05-16,69.16
346,2001-05-17,68.17
347,2001-05-18,68.09
348,2001-05-21,68.79
349,2001-05-22,70.31
